554	Pectobacterium carotovorum	554	Pectobacterium carotovorum
5022	Leptosphaeria maculans	5022	Leptosphaeria maculans
38038	Rhynchosporium secalis	38038	Rhynchosporium secalis
431947	Porphyromonas gingivalis ATCC 33277	837	Porphyromonas gingivalis
192011	Cryptococcus neoformans A/D	5207	Cryptococcus neoformans
5466	Colletotrichum trifolii	5466	Colletotrichum trifolii
652611	Pseudomonas aeruginosa PA14	287	Pseudomonas aeruginosa
316273	Xanthomonas campestris pv. vesicatoria str. 85-10	456327	Xanthomonas euvesicatoria
573	Klebsiella pneumoniae	573	Klebsiella pneumoniae
1047171	Zymoseptoria tritici	1047171	Zymoseptoria tritici
1195885	Xanthomonas translucens pv. graminis ART-Xtg29	343	Xanthomonas translucens
1313	Streptococcus pneumoniae	1313	Streptococcus pneumoniae
1081927	Pseudomonas aeruginosa PA103	287	Pseudomonas aeruginosa
5017	Bipolaris zeicola	5017	Bipolaris zeicola
45888	Vibrio cholerae O139	666	Vibrio cholerae
199306	Coccidioides posadasii	199306	Coccidioides posadasii
701091	Bipolaris maydis C5	5016	Bipolaris maydis
383407	Xanthomonas oryzae pv. oryzicola BLS256	347	Xanthomonas oryzae
183190	Xylella fastidiosa Temecula1	2371	Xylella fastidiosa
4932	Saccharomyces cerevisiae	4932	Saccharomyces cerevisiae
5665	Leishmania mexicana	5665	Leishmania mexicana
5465	Colletotrichum orbiculare	5465	Colletotrichum orbiculare
55208	Pectobacterium wasabiae	55208	Pectobacterium wasabiae
223283	Pseudomonas syringae pv. tomato str. DC3000	251701	Pseudomonas syringae group genomosp. 3
170187	Streptococcus pneumoniae TIGR4	1313	Streptococcus pneumoniae
5462	Colletotrichum lagenaria	5462	Colletotrichum lagenaria
35717	Epichloe festucae	35717	Epichloe festucae
505235	Aspergillus fumigatus CEA10	746128	Aspergillus fumigatus
443906	Clavibacter michiganensis subsp. michiganensis NCPPB 382	28447	Clavibacter michiganensis
5507	Fusarium oxysporum	5507	Fusarium oxysporum
5563	Gloeocercospora sorghi	5563	Gloeocercospora sorghi
272952	Hyaloperonospora arabidopsidis	272952	Hyaloperonospora arabidopsidis
367830	Staphylococcus aureus subsp. aureus USA300	1280	Staphylococcus aureus
319	Pseudomonas syringae pv. phaseolicola	29438	Pseudomonas savastanoi
205918	Pseudomonas syringae pv. syringae B728a	317	Pseudomonas syringae
6326	Bursaphelenchus xylophilus	6326	Bursaphelenchus xylophilus
27358	Colletotrichum coccodes	27358	Colletotrichum coccodes
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	197	Campylobacter jejuni
5508	Fusarium oxysporum f. cucumerinum	5507	Fusarium oxysporum
117187	Fusarium verticillioides	117187	Fusarium verticillioides
101028	Fusarium pseudograminearum	101028	Fusarium pseudograminearum
568076	Metarhizium robertsii	568076	Metarhizium robertsii
1189617	Xanthomonas axonopodis pv. manihotis str. CFBP1851	53413	Xanthomonas axonopodis
633	Yersinia pseudotuberculosis	633	Yersinia pseudotuberculosis
5128	Fusarium sambucinum	5128	Fusarium sambucinum
1095762	Sclerotinia sclerotiorum WM-A1	5180	Sclerotinia sclerotiorum
914127	Vibrio vulnificus MO6-24/O	672	Vibrio vulnificus
162425	Aspergillus nidulans	162425	Aspergillus nidulans
93591	Lecanicillium fungicola	93591	Lecanicillium fungicola
622360	Alternaria brassicicola ATCC 96836	29001	Alternaria brassicicola
318829	Magnaporthe oryzae	318829	Magnaporthe oryzae
5180	Sclerotinia sclerotiorum	5180	Sclerotinia sclerotiorum
123356	Hyaloperonospora parasitica	123356	Hyaloperonospora parasitica
29920	Phytophthora cactorum	29920	Phytophthora cactorum
738	Haemophilus parasuis	738	Haemophilus parasuis
290576	Colletotrichum lindemuthianum	290576	Colletotrichum lindemuthianum
317	Pseudomonas syringae	317	Pseudomonas syringae
29905	Colletotrichum gloeosporioides f. sp. aeschynomenes	474922	Colletotrichum gloeosporioides
345073	Vibrio cholerae O395	666	Vibrio cholerae
665024	Bipolaris maydis ATCC 48331	5016	Bipolaris maydis
456327	Xanthomonas euvesicatoria	456327	Xanthomonas euvesicatoria
435258	Leishmania infantum JPCM5	5671	Leishmania infantum
5599	Alternaria alternata	5599	Alternaria alternata
13131	Macrosiphum euphorbiae	13131	Macrosiphum euphorbiae
552	Erwinia amylovora	552	Erwinia amylovora
660596	Pantoea stewartii subsp. stewartii DC283	66269	Pantoea stewartii
294750	Cryptococcus gattii R265	552467	Cryptococcus gattii
697284	Paenibacillus larvae subsp. larvae DSM 25430	1464	Paenibacillus larvae
686	Vibrio cholerae O1 biovar El Tor	666	Vibrio cholerae
358	Agrobacterium tumefaciens	358	Agrobacterium tumefaciens
321	Pseudomonas syringae pv. syringae	317	Pseudomonas syringae
306902	Clavispora lusitaniae ATCC 42720	36911	Clavispora lusitaniae
383379	Toxoplasma gondii RH	5811	Toxoplasma gondii
1147754	Salmonella enterica subsp. enterica serovar Enteritidis str. LA5	28901	Salmonella enterica
5478	Candida glabrata	5478	Candida glabrata
62688	Blumeria graminis f. sp. hordei	34373	Blumeria graminis
59511	Pseudomonas syringae pv. maculicola	251701	Pseudomonas syringae group genomosp. 3
1203463	Xanthomonas citri subsp. citri 306	346	Xanthomonas citri
198214	Shigella flexneri 2a str. 301	623	Shigella flexneri
746128	Aspergillus fumigatus	746128	Aspergillus fumigatus
439184	Escherichia coli RS218	562	Escherichia coli
214684	Cryptococcus neoformans var. neoformans JEC21	5207	Cryptococcus neoformans
559306	Ustilago maydis FB1	5270	Ustilago maydis
1271791	Magnaporthe oryzae KJ201	318829	Magnaporthe oryzae
29001	Alternaria brassicicola	29001	Alternaria brassicicola
45151	Pyrenophora tritici-repentis	45151	Pyrenophora tritici-repentis
29850	Gaeumannomyces graminis	29850	Gaeumannomyces graminis
