Pathogen Taxon ID	Pathogen Taxon Name	Pathogen Species Taxon ID	Pathogen Species Name	PubMed IDs
5501	Coccidioides immitis	5501	Coccidioides immitis	12065484
360094	Xanthomonas oryzae pv. oryzae PXO99A	347	Xanthomonas oryzae	15195942;11967067;15195943;19892983;17082309;22712508
1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu	28901	Salmonella enterica	23028994;15469511
393132	Listeria monocytogenes LO28	1639	Listeria monocytogenes	23382675
1496	Peptoclostridium difficile	1496	Peptoclostridium difficile	23236283
1396	Bacillus cereus	1396	Bacillus cereus	22571587
5037	Histoplasma capsulatum	5037	Histoplasma capsulatum	11082066;9916068;22841690
76659	Pyrenopeziza brassicae	76659	Pyrenopeziza brassicae	12795380
243277	Vibrio cholerae O1 biovar El Tor str. N16961	666	Vibrio cholerae	15225327;3335402;19480715
135859	Alternaria citri	135859	Alternaria citri	11386370
336722	Zymoseptoria tritici IPO323	1047171	Zymoseptoria tritici	12906113;19520179;17379549;21623954;20507446
1310173	Brucella abortus 2038	235	Brucella abortus	24927935
413071	Trichoderma virens Gv29-8	29875	Trichoderma virens	17885089
5514	Fusarium sporotrichioides	5514	Fusarium sporotrichioides	10485289
59510	Pseudomonas syringae pv. pisi	317	Pseudomonas syringae	8589423;7579614
1235829	Streptococcus pyogenes A20	1314	Streptococcus pyogenes	24998435
287	Pseudomonas aeruginosa	287	Pseudomonas aeruginosa	24918783
5261	Melampsora lini	5261	Melampsora lini	14973158;16326930
45130	Bipolaris sorokiniana	45130	Bipolaris sorokiniana	22023083
