NAR  Supplementary Table S1 								
PHI-base Version 3.6 contents  								
TOTAL -  160 species  (those in bold text are also found in the PhytoPath ENSEMBL genomes database) 							1 - USDA Fungal database (http://nt.ars-grin.gov/fungaldatabases)	
							2 - Plantwise Knowledge Bank (http://www.plantwise.org/KnowledgeBank)	
Taxonomy / NCBI identifier	Pathogen species name(s)	Host species type(s) in PHI-base	Lifestyle  Abbr: HST - Host selective toxin (metabolite),  PHST - proteinaceous host selective toxin	Obligate biotroph	Host species types (natural)	No of plant hosts; Vast  - well over 100 host species, Many -  up to 100 host species, A few - up to 20 host species, One - a single host species  [Information taken from USDA Fungal database and Plantwise Knowledge Bank)	No of different host interactions recorded in the the USDA Fungal database	No of different host interactions recorded in the the Plantwise Knowledge Bank
29850	Gaeumannomyces graminis	Monocot	Necrotroph		Cereal Monocot	A few	18	
5127	Gibberella fujikuroi	Monocot	Hemibiotroph -necrotroph		Cereal Monocot  - Non Cereal Monocot - Dicot 	Many	51	
117187	Gibberella moniliformis (related: Fusarium verticillioides)	Monocot / Animal / Insect	Hemibiotroph -necrotroph		Cereal Monocot, Dicots	Many	43	
5128	Gibberella pulicaris	Dicot	Necrotroph		Cereal Monocot - Non Cereal Monocot - Dicot 	Vast	132	
5563	Gloeocercospora sorghi	Monocot	Necrotroph		Cereal Monocot	Many	32	
226899	Grosmannia clavigera	Gymnosperm			Dicot - Tree	A few	13	
5022	Leptosphaeria maculans	Dicot	Hemibiotroph		Dicot 	Vast	110	
148305	Magnaporthe grisea	Monocot	Hemibiotroph		Cereal Monocot   - Non Cereal Monocot 	Vast	204	
148305	Magnaporthe oryzae	Monocot	Hemibiotroph		Cereal Monocot	Many	46	
38448	Monilinia fructicola	Dicot	Necrotroph		Dicot	Many	103	
54734	Mycosphaerella graminicola (related: Zymoseptoria triticii)	Monocot	Hemibiotroph		Cereal Monocot	A few	33	
140110	Nectria haematococca	Dicot	Necrotroph		Cereal Monocot - Non Cereal Monocot - Dicot 	Vast	623	
76659	Pyrenopeziza brassicae	Dicot	Hemibiotroph		Dicot	A few	16	
53485	Pyrenophora teres	Monocot	Hemibiotroph		Cereal Monocot	Many	29	
45151	Pyrenophora tritici-repentis	Monocot	Necrotroph-PHST		Cereal Monocot	Many	87	
914237	Rhynchosporium commune	Monocot	Hemibiotroph		Cereal Monocot	A few	4	
38038	Rhynchosporium secalis	Monocot	Hemibiotroph		Cereal Monocot	Many	80	
5180	Sclerotinia sclerotiorum	Dicot	Necrotroph		Non Cereal Monocot - Dicot 	Vast	684	
39703	Septoria lycopersici	Dicot	Necrotroph		Dicot	A few	17	
93612	Setosphaeria turcica	Monocot	Hemibiotroph		Cereal Monocot	Many	37	
13684	Stagonospora nodorum (related: Phaeosphaeria nodorum)	Monocot	Necrotroph-PHST		Cereal Monocot	Vast	113	
5025	Venturia inaequalis	Dicot	Hemibiotroph		Dicot - Tree 	Vast	141	
27337	Verticillium dahliae	Dicot	Necrotroph		Dicot	Vast	395	
Basidiomycetes (4)								
5116	Cryphonectria parasitica	Dicot	Hemibiotroph -necrotroph		Dicot - Tree 	Many 	50	
5261	Melampsora lini	Dicot	Biotroph		Dicot - Linum sp only	Many	56	
120017	Ustilago hordei	Monocot	Biotroph 	x	Cereal Monocot	Many	115	
5270	Ustilago maydis	Monocot	Biotroph 		Cereal Monocot	A few	17	
Oomycetes (8)								
272952	Hyaloperonospora arabidopsidis	Dicot 	Biotroph 	x	Dicot	A few	5	
123356	Hyaloperonospora parasitica	Dicot	Biotroph	x	Dicot	Vast	330	
29920	Phytophthora cactorum	Dicot	Necrotroph		Cereal Monocot - Non Cereal Monocot - Dicot 	Vast	420	
4784	Phytophthora capsici	Dicot	Hemibiotroph		Dicot, Dicot-Tree,  Non Cereal Monocot	Many	84	
4787	Phytophthora infestans	Dicot	Hemibiotroph		Dicot	Vast	134	
4792	Phytophthora parasitica	Dicot	Hemibiotroph		Dicot, Dicot-Tree,  Non Cereal Monocot	Vast	897	
67593	Phytophthora sojae	Dicot	Hemibiotroph		Non Cereal Monocot - Dicot 	Many	49	
65070	Pythium aphanidermatum	Dicot	Necrotroph		Cereal Monocot  - Non Cereal Monocot - Dicot 	Vast	285	
								
Plant infecting pests (4)								
36090	Globodera pallida	Dicot	Biotroph	x	Dicot	Many	none	23
13131	Macrosiphum euphorbiae	Dicot	Phloem feeding insect		Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Many	none	35
6303	Meloidogyne javanica	Dicot	Biotroph	x	Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Vast	none	102
13164	Myzus persicae	Dicot	Phloem feeding insect		Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Vast 	none	115
								
Fungal infecting pathogens (3) 								
Ascomycetes (2)								
29875	Trichoderma virens	Fungi			Fungi, Dicot, Dicot - Trees	A few	12	
93591	Verticillium fungicola 	Fungi			Fungi	One	1	
93591	Lecanicillium fungicola	Fungi					none	
								
Animal and other host infecting pathogens  (21)								
Ascomycetes (17)								
746128	Aspergillus fumigatus	Animal				No information available on number of animal hosts.		
162425	Aspergillus nidulans	Animal				from USDA Fungal database or Plantwise Knowledge Bank.		
176275	Beauveria bassiana	Insect						
5039	Blastomyces dermatitidis	Animal						
5476	Candida albicans	Animal						
5478	Candida glabrata	Animal						
36911	Candida lusitaniae	Animal						
5480	Candida parapsilosis	Animal						
5482	Candida tropicalis	Animal						
5501	Coccidioides immitis 	Animal						
199306	Coccidioides posadasii	Animal						
5970	Exophiala dermatitidis (related: Wangiella  dermatitidis)	Animal						
5037	Histoplasma capsulatum	Animal						
5530	Metarhizium anisopliae	Insect						
568076	Metarhizium robertsii	Insect						
4932	Saccharomyces cerevisiae	Animal / Nematode 						
